"Variable","Adjusted RR","P-value","AIC","Moran's I","Moran's I p-value","Overdispersion"
"Propyleneimine",1.0685689711485,0.100131402623275,3310.73661577454,NA,NA,0.13
"4,4'-Methylenebis(2-chloroaniline)",0.0861292241884247,0.101972655732533,3309.00399782735,NA,NA,0.13
"Beryllium compounds",0.111035080011612,0.105090893598302,3306.75597829457,NA,NA,0.131
"Pyridine",0.802940436104521,0.105900516098392,3309.40209766904,NA,NA,0.131
"Longitude",0.879644566150248,0.108027920236819,3310.81288422595,NA,NA,0.13
"CFC 115 (chloropentafluoroethane)",0.648584958414562,0.11149084702115,3307.86399869243,NA,NA,0.131
"p-Dinitrobenzene",0.532384007422419,0.120001590340666,3307.85423707472,NA,NA,0.131
"Methacrylonitrile",1.07516905223163,0.120057620867438,3311.31083463542,NA,NA,0.131
"Ametryn",1.04202363172737,0.124774704901449,3312.29170093297,NA,NA,0.13
"1,2-Dichloropropane",0.0406411372582933,0.127108934310152,3307.74574488873,NA,NA,0.131
"Methoxone (MCPA)",1.0620874993479,0.130322071438071,3310.91794338278,NA,NA,0.131
"Tetrabromobisphenol-A (TBBPA)",1.24027583154942,0.133903427182929,3311.66612246966,NA,NA,0.13
"Methyl parathion",1.07145588723763,0.1364692141097,3311.39068208897,NA,NA,0.13
"Octachlorostyrene",0.742393010593027,0.136881280940286,3309.20548519913,NA,NA,0.131
"Bis(2-chloroethyl)ether",1.07955998626035,0.137723114487678,3311.5766763425,NA,NA,0.131
"Bendiocarb",1.08085714114644,0.138876071736419,3311.50041473217,NA,NA,0.13
"Cobalt",0.801510943133151,0.14246342413017,3310.15673123278,NA,NA,0.13
"N,N-Dimethylformamide",1.07096248647599,0.145795854850681,3311.91160566466,NA,NA,0.13
"Anthracene",0.886631828791583,0.146966249851829,3311.45540514703,NA,NA,0.13
"Triclopyr triethylammonium salt",0.202679507756493,0.149048794879618,3308.79604838851,NA,NA,0.13
"Pentachloroethane",1.07687239320697,0.150263654475466,3311.57106060406,NA,NA,0.131
"Ages 55 59",0.873762504861777,0.153348762947817,3311.35950830787,NA,NA,0.13
"Ages 75 79",0.854841456287204,0.153821060849266,3310.61081711194,NA,NA,0.13
"Oxadiazon",0.000125956343311891,0.154294639849945,3305.24396007374,NA,NA,0.131
"3,3'-Dichlorobenzidine dihydrochloride",1.07504608126963,0.157130789711994,3311.79261805586,NA,NA,0.13
"o-Dinitrobenzene",0.55372148115204,0.157808764597569,3308.54880324573,NA,NA,0.131
"N-Nitrosopiperidine",1.06607417156557,0.158214331082522,3311.59972847208,NA,NA,0.131
"Picloram",0.203677126929195,0.161256565302552,3309.26190062924,NA,NA,0.13
"Toxaphene",1.07111324993211,0.161713136662268,3311.8540507085,NA,NA,0.13
"Isodrin",1.0665604621611,0.163440923271052,3311.57204116804,NA,NA,0.13
"m-Dinitrobenzene",0.620436673818688,0.170152644653135,3308.99941666586,NA,NA,0.131
"2,2-Bis(Bromomethyl)-1,3-propanediol",0.85375202722367,0.17078862252213,3311.47223949318,NA,NA,0.13
"Methanol",0.843598904448365,0.171489088504346,3310.35719884424,NA,NA,0.13
"Bromoxynil octanoate",0.831166392267088,0.177453546031237,3311.19869495889,NA,NA,0.131
"Chlorothalonil",1.06951000653801,0.17906970066469,3311.81377183742,NA,NA,0.131
"trans-1,4-Dichloro-2-butene",1.05898072593388,0.181469606856788,3312.01053376974,NA,NA,0.13
"3,3'-Dimethoxybenzidine dihydrochloride",1.05834356867919,0.181500750622009,3311.7673843103,NA,NA,0.131
